"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0200177","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200178","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200179","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200180","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200181","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200182","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200183","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200184","","","Lounais-Suomen ympäristökeskus PL4720801 TURKU","","","","","","",""
"FI0200185","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200186","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200187","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
